invoice_id,payment_date,amount,method
INV-2082,2026-08-13,14060.35,wire
INV-2083,2026-08-22,8024.0,ACH
INV-2084,2026-08-17,9801.29,ACH
INV-2091,2025-04-23,31314.34,check
INV-2092,2025-04-27,35509.97,wire
INV-2093,2025-06-03,18269.56,check
INV-2094,2025-06-01,32607.32,ACH
INV-2095,2025-06-28,39364.78,wire
INV-2096,2025-06-21,39037.51,ACH
INV-2097,2025-07-28,28813.8,ACH
INV-2098,2025-07-26,35057.75,ACH
INV-2099,2025-08-19,31109.64,ACH
INV-2100,2025-09-01,42907.9,wire
INV-2101,2025-10-05,46366.61,ACH
INV-2102,2025-09-28,15993.54,wire
INV-2103,2025-10-24,37145.83,ACH
INV-2104,2025-11-08,34305.51,wire
INV-2105,2025-11-29,27522.31,wire
INV-2106,2025-11-24,35950.56,wire
INV-2107,2025-12-21,24019.78,ACH
INV-2108,2026-01-03,39505.85,ACH
INV-2109,2026-01-20,14892.59,check
INV-2110,2026-02-13,39029.86,wire
INV-2111,2026-02-25,32137.95,wire
INV-2112,2026-03-07,34928.49,check
INV-2113,2026-05-03,15113.26,check
INV-2114,2026-05-20,37523.75,wire
INV-2115,2026-06-16,22789.82,check
INV-2116,2026-06-20,33974.7,wire
INV-2117,2026-07-06,28500.06,wire
INV-2118,2026-07-27,29011.08,ACH
INV-2119,2026-08-18,25492.85,check
INV-2120,2026-08-06,29487.59,check
INV-2127,2025-04-02,10434.6,ACH
INV-2128,2025-03-27,12816.48,wire
INV-2129,2025-05-19,14315.02,wire
INV-2130,2025-05-23,10156.64,ACH
INV-2131,2025-06-09,11126.75,ACH
INV-2132,2025-06-25,10141.9,check
INV-2133,2025-07-08,11407.12,ACH
INV-2134,2025-07-01,17088.95,ACH
INV-2135,2025-08-22,12382.84,wire
INV-2136,2025-08-12,10534.39,ACH
INV-2137,2025-09-27,13932.72,ACH
INV-2138,2025-09-16,10326.43,check
INV-2139,2025-10-20,15414.46,wire
INV-2140,2025-10-28,14847.93,wire
INV-2141,2025-11-15,9500.02,check
INV-2142,2025-11-22,9265.17,check
INV-2143,2026-02-01,9766.48,ACH
INV-2144,2026-01-26,14889.22,wire
INV-2145,2026-03-23,16833.75,wire
INV-2146,2026-02-13,8321.31,wire
INV-2147,2026-04-05,10948.42,ACH
INV-2148,2026-04-06,9462.81,check
INV-2149,2026-03-30,6728.01,wire
INV-2150,2026-03-20,13070.44,ACH
INV-2151,2026-04-27,10428.64,check
INV-2152,2026-04-19,12242.55,wire
INV-2153,2026-05-17,12725.02,ACH
INV-2154,2026-05-20,12558.48,check
INV-2155,2026-05-30,13205.31,ACH
INV-2156,2026-06-19,13913.78,check
INV-2157,2026-07-12,8828.08,wire
INV-2158,2026-07-07,13323.22,check
INV-2159,2026-08-11,11263.04,wire
INV-2160,2026-08-21,11520.61,check
INV-2163,2025-08-11,318.53,ACH
INV-2164,2025-08-04,353.41,check
INV-2165,2025-09-16,261.72,check
INV-2166,2025-11-10,273.0,check
INV-2167,2025-11-19,412.64,check
INV-2168,2025-12-31,383.22,ACH
INV-2169,2026-01-15,386.71,check
INV-2170,2026-03-10,277.23,wire
INV-2171,2026-03-25,350.89,wire
INV-2172,2026-04-25,415.35,ACH
INV-2173,2026-05-31,339.1,wire
INV-2174,2026-07-08,412.65,check
INV-2175,2026-07-23,272.39,wire
INV-2176,2026-08-21,314.27,check
INV-2181,2025-04-17,38396.8,check
INV-2182,2025-05-05,31160.7,ACH
INV-2183,2025-04-17,31132.65,ACH
INV-2184,2025-05-27,18695.96,ACH
INV-2185,2025-05-16,24831.25,ACH
INV-2186,2025-05-19,26414.59,check
INV-2187,2025-07-01,31191.01,check
INV-2188,2025-06-15,24475.75,wire
INV-2189,2025-07-08,29575.83,check
INV-2190,2025-07-25,24694.78,ACH
INV-2191,2025-08-05,29299.76,check
INV-2192,2025-07-13,35894.75,check
INV-2193,2025-08-16,22793.27,check
INV-2194,2025-08-14,32959.98,ACH
INV-2195,2025-09-12,34815.39,check
INV-2196,2025-09-30,26892.08,check
INV-2197,2025-09-20,30182.52,check
INV-2198,2025-09-17,30457.27,ACH
INV-2199,2025-10-25,26352.93,ACH
INV-2200,2025-11-04,27919.78,check
INV-2201,2025-10-17,27375.41,wire
INV-2202,2025-11-28,27815.21,wire
INV-2203,2025-12-03,28016.93,ACH
INV-2204,2025-12-05,21406.36,wire
INV-2205,2025-12-18,24618.72,check
INV-2206,2025-12-29,29273.63,wire
INV-2207,2025-12-25,19073.61,wire
INV-2208,2026-02-09,22406.39,wire
INV-2209,2026-01-13,31252.64,check
INV-2210,2026-01-17,37034.72,wire
INV-2211,2026-03-10,32766.56,wire
INV-2212,2026-02-21,31850.99,ACH
INV-2213,2026-02-15,24709.43,ACH
INV-2214,2026-03-24,20845.03,ACH
INV-2215,2026-04-07,31303.89,wire
INV-2216,2026-04-03,18964.37,wire
INV-2217,2026-04-22,23312.9,ACH
INV-2218,2026-04-30,29602.31,ACH
INV-2219,2026-04-11,28649.63,ACH
INV-2220,2026-05-23,41969.05,wire
INV-2221,2026-05-19,29484.56,ACH
INV-2222,2026-05-19,34566.16,check
INV-2223,2026-06-26,25683.85,ACH
INV-2224,2026-06-26,26696.5,wire
INV-2225,2026-06-24,34886.81,wire
INV-2226,2026-07-28,24585.87,check
INV-2227,2026-07-25,20923.92,check
INV-2228,2026-07-25,30079.26,check
INV-2230,2026-08-12,33635.15,check
INV-2235,2025-04-24,2366.24,ACH
INV-2235,2025-05-06,2366.23,ACH
INV-2236,2025-04-03,3145.45,ACH
INV-2236,2025-04-22,3145.44,ACH
INV-2237,2025-05-23,2610.76,ACH
INV-2237,2025-06-06,2610.75,ACH
INV-2238,2025-05-27,7055.87,check
INV-2239,2025-06-14,6329.8,check
INV-2240,2025-07-05,3123.64,ACH
INV-2240,2025-07-19,3123.64,ACH
INV-2241,2025-07-25,3475.36,ACH
INV-2241,2025-08-02,3475.35,ACH
INV-2242,2025-07-28,3194.62,ACH
INV-2242,2025-08-06,3194.62,ACH
INV-2243,2025-08-20,7726.89,ACH
INV-2244,2025-08-26,4935.17,check
INV-2245,2025-09-18,3139.43,ACH
INV-2245,2025-10-03,3139.43,ACH
INV-2246,2025-09-29,6593.55,wire
INV-2247,2025-11-06,4677.76,wire
INV-2248,2025-11-03,5298.5,wire
INV-2249,2025-12-21,3846.36,ACH
INV-2250,2025-12-11,7687.95,wire
INV-2251,2025-12-27,2827.05,ACH
INV-2251,2026-01-08,2827.05,ACH
INV-2252,2026-01-10,2666.39,ACH
INV-2252,2026-01-22,2666.4,ACH
INV-2253,2026-01-27,2983.86,ACH
INV-2253,2026-02-08,2983.86,ACH
INV-2254,2026-02-09,6050.67,check
INV-2255,2026-02-08,3015.72,ACH
INV-2255,2026-02-21,3015.71,ACH
INV-2256,2026-03-02,4827.84,ACH
INV-2256,2026-03-18,4827.83,ACH
INV-2257,2026-03-17,6652.33,ACH
INV-2258,2026-04-08,7028.79,ACH
INV-2259,2026-04-17,2880.82,ACH
INV-2259,2026-04-25,2880.82,ACH
INV-2260,2026-05-16,3091.23,ACH
INV-2261,2026-05-22,7267.07,ACH
INV-2262,2026-05-10,4191.61,ACH
INV-2262,2026-05-28,4191.62,ACH
INV-2263,2026-06-30,2269.55,ACH
INV-2263,2026-07-13,2269.55,ACH
INV-2264,2026-06-20,6391.06,check
INV-2265,2026-08-02,8015.73,check
INV-2266,2026-07-28,7733.98,check
INV-2271,2025-05-23,91439.29,check
INV-2272,2025-06-08,101986.25,ACH
INV-2273,2025-07-12,68403.65,ACH
INV-2274,2025-08-27,97507.47,check
INV-2275,2025-09-11,89095.43,ACH
INV-2276,2025-10-11,107908.2,ACH
INV-2277,2025-11-26,94992.97,wire
INV-2278,2025-12-26,83654.21,ACH
INV-2279,2026-01-06,77053.88,wire
INV-2280,2026-02-06,75332.71,wire
INV-2281,2026-03-08,114256.24,wire
INV-2282,2026-04-04,80065.78,check
INV-2283,2026-05-11,62703.0,ACH
INV-2284,2026-05-27,109411.78,check
INV-2285,2026-07-26,74675.47,ACH
INV-2286,2026-08-20,116220.2,check
INV-2289,2025-04-21,8395.23,ACH
INV-2290,2025-04-22,7185.05,check
INV-2291,2025-05-10,6302.86,ACH
INV-2292,2025-05-23,4410.78,check
INV-2293,2025-06-12,5726.81,check
INV-2294,2025-06-13,9222.1,ACH
INV-2295,2025-07-19,6198.12,check
INV-2296,2025-07-18,7611.71,wire
INV-2297,2025-08-17,8531.69,check
INV-2298,2025-08-10,8096.17,wire
INV-2299,2025-09-12,6468.88,ACH
INV-2300,2025-09-03,8109.64,ACH
INV-2301,2025-09-30,7030.03,check
INV-2302,2025-10-22,9220.98,check
INV-2303,2025-11-26,10090.8,ACH
INV-2304,2025-11-08,7893.58,wire
INV-2305,2025-12-16,7636.27,wire
INV-2306,2025-11-26,5633.82,check
INV-2307,2026-01-20,8665.93,ACH
INV-2308,2026-01-20,7519.37,check
INV-2309,2026-02-24,5997.9,wire
INV-2310,2026-02-03,8290.17,check
INV-2311,2026-03-05,9235.08,wire
INV-2312,2026-03-10,8175.45,wire
INV-2313,2026-04-19,7714.16,check
INV-2314,2026-04-01,6831.44,ACH
INV-2315,2026-05-17,4317.01,check
INV-2316,2026-05-21,8129.55,check
INV-2317,2026-06-06,6376.34,wire
INV-2318,2026-06-25,5645.89,ACH
INV-2319,2026-07-04,10772.02,wire
INV-2320,2026-07-16,5400.8,check
INV-2321,2026-08-23,5716.21,ACH
INV-2322,2026-08-11,6955.27,ACH
INV-2325,2025-06-02,18601.48,check
INV-2326,2025-05-22,13870.45,ACH
INV-2327,2025-06-26,18050.37,wire
INV-2328,2025-07-01,16618.21,ACH
INV-2329,2025-08-14,11203.95,wire
INV-2330,2025-07-30,15184.14,check
INV-2331,2025-09-12,19087.28,ACH
INV-2332,2025-09-09,9747.84,wire
INV-2333,2025-09-11,14376.46,wire
INV-2334,2025-10-03,18579.77,ACH
INV-2335,2025-11-11,9656.12,check
INV-2336,2025-10-30,9914.37,wire
INV-2337,2025-12-12,17167.66,ACH
INV-2338,2025-11-29,12727.84,check
INV-2339,2026-01-08,13659.64,ACH
INV-2340,2026-01-06,15680.07,wire
INV-2341,2026-02-04,16994.17,wire
INV-2342,2026-02-09,19249.14,ACH
INV-2343,2026-03-10,9789.82,check
INV-2344,2026-02-27,24578.3,check
INV-2345,2026-04-12,15529.14,check
INV-2346,2026-04-08,17726.28,ACH
INV-2347,2026-04-28,21201.82,wire
INV-2348,2026-05-05,15377.51,ACH
INV-2349,2026-05-21,21334.29,check
INV-2350,2026-06-03,14087.92,ACH
INV-2351,2026-07-10,11976.02,wire
INV-2352,2026-07-08,19961.63,wire
INV-2353,2026-08-03,15128.58,check
INV-2354,2026-08-15,6291.33,check
INV-2355,2026-08-22,18720.96,check
INV-2361,2025-05-18,18896.89,wire
INV-2362,2025-06-08,32988.84,ACH
INV-2363,2025-07-22,13768.09,check
INV-2364,2025-08-14,8313.03,check
INV-2365,2025-09-16,27070.9,ACH
INV-2366,2025-10-22,18678.8,check
INV-2367,2025-11-11,26100.59,check
INV-2368,2025-12-09,28819.04,check
INV-2369,2026-01-10,19180.39,check
INV-2370,2026-02-12,24915.24,ACH
INV-2371,2026-03-30,23717.43,wire
INV-2372,2026-03-27,24151.05,ACH
INV-2373,2026-05-21,22238.39,check
INV-2374,2026-06-07,13176.79,wire
INV-2375,2026-07-18,23713.53,wire
INV-2376,2026-08-01,14302.91,ACH
INV-2379,2025-05-19,11007.66,check
INV-2380,2025-05-22,11874.33,ACH
INV-2381,2025-04-29,10495.11,check
INV-2382,2025-06-13,14008.64,check
INV-2383,2025-06-16,11220.95,ACH
INV-2384,2025-06-22,12142.03,wire
INV-2385,2025-07-08,10806.37,check
INV-2386,2025-07-17,11096.62,ACH
INV-2387,2025-07-17,6404.08,ACH
INV-2388,2025-08-11,11691.61,check
INV-2389,2025-08-23,12522.04,check
INV-2390,2025-08-24,12550.72,check
INV-2391,2025-09-08,11959.69,wire
INV-2392,2025-09-23,13133.01,ACH
INV-2393,2025-09-13,11689.76,check
INV-2394,2025-10-06,8891.26,ACH
INV-2395,2025-10-26,12102.02,check
INV-2396,2025-10-22,13165.31,ACH
INV-2397,2025-11-06,14267.1,check
INV-2398,2025-11-25,12142.21,wire
INV-2399,2025-11-27,5652.84,ACH
INV-2400,2025-12-21,10063.94,wire
INV-2401,2025-12-10,13702.86,ACH
INV-2402,2025-12-28,12691.68,ACH
INV-2403,2025-12-07,9572.95,ACH
INV-2404,2025-12-19,13518.62,ACH
INV-2405,2025-12-28,8196.78,check
INV-2406,2026-01-01,13088.2,wire
INV-2407,2026-01-23,11249.41,check
INV-2408,2026-01-28,13519.67,wire
INV-2409,2026-02-04,14573.56,ACH
INV-2410,2026-02-24,10593.56,check
INV-2411,2026-02-08,12045.5,check
INV-2412,2026-03-02,10020.83,wire
INV-2413,2026-03-06,8086.29,ACH
INV-2414,2026-03-20,12327.28,ACH
INV-2415,2026-04-01,10796.4,wire
INV-2416,2026-04-13,12322.23,ACH
INV-2417,2026-04-23,16543.36,check
INV-2418,2026-05-16,9450.31,check
INV-2419,2026-05-01,9239.38,ACH
INV-2420,2026-05-15,8942.71,ACH
INV-2421,2026-06-27,13954.85,ACH
INV-2422,2026-06-11,10668.18,wire
INV-2423,2026-06-24,5257.62,check
INV-2424,2026-07-07,8683.72,check
INV-2425,2026-07-20,13649.71,check
INV-2426,2026-07-01,9254.16,check
INV-2427,2026-08-16,9066.55,check
INV-2428,2026-08-25,11617.48,wire
INV-2429,2026-08-23,11103.19,check
INV-2231,2026-08-11,34354.3,ACH
