invoice_id,customer_id,issue_date,due_date,amount,terms,status
INV-2102,C-03,2025-08-12,2025-09-26,15993.54,Net 45,paid
INV-2103,C-03,2025-09-09,2025-10-24,37145.83,Net 45,paid
INV-2104,C-03,2025-09-23,2025-11-07,34305.51,Net 45,paid
INV-2105,C-03,2025-10-17,2025-12-01,27522.31,Net 45,paid
INV-2106,C-03,2025-10-11,2025-11-25,35950.56,Net 45,paid
INV-2107,C-03,2025-11-08,2025-12-23,24019.78,Net 45,paid
INV-2108,C-03,2025-11-16,2025-12-31,39505.85,Net 45,paid
INV-2109,C-03,2025-12-03,2026-01-17,14892.59,Net 45,paid
INV-2110,C-03,2025-12-27,2026-02-10,39029.86,Net 45,paid
INV-2111,C-03,2026-01-09,2026-02-23,32137.95,Net 45,paid
INV-2112,C-03,2026-01-24,2026-03-10,34928.49,Net 45,paid
INV-2113,C-03,2026-02-14,2026-03-31,15113.26,Net 45,paid
INV-2114,C-03,2026-02-27,2026-04-13,37523.75,Net 45,paid
INV-2115,C-03,2026-03-12,2026-04-26,22789.82,Net 45,paid
INV-2116,C-03,2026-03-27,2026-05-11,33974.7,Net 45,paid
INV-2117,C-03,2026-04-11,2026-05-26,28500.06,Net 45,paid
INV-2118,C-03,2026-04-24,2026-06-08,29011.08,Net 45,paid
INV-2119,C-03,2026-05-14,2026-06-28,25492.85,Net 45,paid
INV-2120,C-03,2026-05-09,2026-06-23,29487.59,Net 45,paid
INV-2121,C-03,2026-06-27,2026-08-11,31165.01,Net 45,open
INV-2122,C-03,2026-06-13,2026-07-28,24731.97,Net 45,open
INV-2123,C-03,2026-07-21,2026-09-04,34814.46,Net 45,open
INV-2124,C-03,2026-07-05,2026-08-19,37685.06,Net 45,open
INV-2125,C-03,2026-08-15,2026-09-29,17543.97,Net 45,open
INV-2126,C-03,2026-08-17,2026-10-01,34177.59,Net 45,open
INV-2127,C-04,2025-03-05,2025-04-04,10434.6,Net 30,paid
INV-2128,C-04,2025-03-01,2025-03-31,12816.48,Net 30,paid
INV-2129,C-04,2025-04-17,2025-05-17,14315.02,Net 30,paid
INV-2130,C-04,2025-04-25,2025-05-25,10156.64,Net 30,paid
INV-2131,C-04,2025-05-09,2025-06-08,11126.75,Net 30,paid
INV-2132,C-04,2025-05-26,2025-06-25,10141.9,Net 30,paid
INV-2133,C-04,2025-06-09,2025-07-09,11407.12,Net 30,paid
INV-2134,C-04,2025-06-01,2025-07-01,17088.95,Net 30,paid
INV-2135,C-04,2025-07-21,2025-08-20,12382.84,Net 30,paid
INV-2136,C-04,2025-07-15,2025-08-14,10534.39,Net 30,paid
INV-2137,C-04,2025-08-24,2025-09-23,13932.72,Net 30,paid
INV-2138,C-04,2025-08-19,2025-09-18,10326.43,Net 30,paid
INV-2139,C-04,2025-09-24,2025-10-24,15414.46,Net 30,paid
INV-2140,C-04,2025-09-24,2025-10-24,14847.93,Net 30,paid
INV-2141,C-04,2025-10-17,2025-11-16,9500.02,Net 30,paid
INV-2142,C-04,2025-10-25,2025-11-24,9265.17,Net 30,paid
INV-2143,C-04,2025-11-24,2025-12-24,9766.48,Net 30,paid
INV-2144,C-04,2025-11-10,2025-12-10,14889.22,Net 30,paid
INV-2145,C-04,2025-12-24,2026-01-23,16833.75,Net 30,paid
INV-2146,C-04,2025-12-04,2026-01-03,8321.31,Net 30,paid
INV-2147,C-04,2026-01-17,2026-02-16,10948.42,Net 30,paid
INV-2148,C-04,2026-01-12,2026-02-11,9462.81,Net 30,paid
INV-2149,C-04,2026-02-24,2026-03-26,6728.01,Net 30,paid
INV-2150,C-04,2026-02-19,2026-03-21,13070.44,Net 30,paid
INV-2151,C-04,2026-03-27,2026-04-26,10428.64,Net 30,paid
INV-2152,C-04,2026-03-20,2026-04-19,12242.55,Net 30,paid
INV-2153,C-04,2026-04-20,2026-05-20,12725.02,Net 30,paid
INV-2154,C-04,2026-04-22,2026-05-22,12558.48,Net 30,paid
INV-2155,C-04,2026-05-03,2026-06-02,13205.31,Net 30,paid
INV-2156,C-04,2026-05-19,2026-06-18,13913.78,Net 30,paid
INV-2157,C-04,2026-06-14,2026-07-14,8828.08,Net 30,paid
INV-2158,C-04,2026-06-04,2026-07-04,13323.22,Net 30,paid
INV-2159,C-04,2026-07-15,2026-08-14,11263.04,Net 30,paid
INV-2160,C-04,2026-07-18,2026-08-17,11520.61,Net 30,paid
INV-2161,C-04,2026-08-23,2026-09-22,7045.9,Net 30,open
INV-2162,C-04,2026-08-17,2026-09-16,12659.32,Net 30,open
INV-2163,C-05,2025-03-27,2025-05-26,318.53,Net 60,paid
INV-2164,C-05,2025-04-01,2025-05-31,353.41,Net 60,paid
INV-2165,C-05,2025-05-20,2025-07-19,261.72,Net 60,paid
INV-2166,C-05,2025-06-26,2025-08-25,273.0,Net 60,paid
INV-2167,C-05,2025-07-21,2025-09-19,412.64,Net 60,paid
INV-2168,C-05,2025-08-07,2025-10-06,383.22,Net 60,paid
INV-2169,C-05,2025-09-19,2025-11-18,386.71,Net 60,paid
INV-2170,C-05,2025-10-11,2025-12-10,277.23,Net 60,paid
INV-2171,C-05,2025-11-17,2026-01-16,350.89,Net 60,paid
INV-2172,C-05,2025-12-16,2026-02-14,415.35,Net 60,paid
INV-2173,C-05,2026-01-20,2026-03-21,339.1,Net 60,paid
INV-2174,C-05,2026-02-16,2026-04-17,412.65,Net 60,paid
INV-2175,C-05,2026-03-25,2026-05-24,272.39,Net 60,paid
INV-2176,C-05,2026-04-20,2026-06-19,314.27,Net 60,paid
INV-2177,C-05,2026-05-14,2026-07-13,314.14,Net 60,open
INV-2178,C-05,2026-06-05,2026-08-04,269.57,Net 60,open
INV-2179,C-05,2026-07-20,2026-09-18,245.1,Net 60,open
INV-2180,C-05,2026-08-22,2026-10-21,329.62,Net 60,open
INV-2181,C-06,2025-03-09,2025-04-23,38396.8,Net 45,paid
INV-2182,C-06,2025-03-20,2025-05-04,31160.7,Net 45,paid
INV-2183,C-06,2025-03-08,2025-04-22,31132.65,Net 45,paid
INV-2184,C-06,2025-04-15,2025-05-30,18695.96,Net 45,paid
INV-2185,C-06,2025-04-05,2025-05-20,24831.25,Net 45,paid
INV-2186,C-06,2025-04-09,2025-05-24,26414.59,Net 45,paid
INV-2187,C-06,2025-05-23,2025-07-07,31191.01,Net 45,paid
INV-2188,C-06,2025-05-07,2025-06-21,24475.75,Net 45,paid
INV-2189,C-06,2025-05-22,2025-07-06,29575.83,Net 45,paid
INV-2190,C-06,2025-06-11,2025-07-26,24694.78,Net 45,paid
INV-2191,C-06,2025-06-27,2025-08-11,29299.76,Net 45,paid
INV-2192,C-06,2025-06-01,2025-07-16,35894.75,Net 45,paid
INV-2193,C-06,2025-07-04,2025-08-18,22793.27,Net 45,paid
INV-2194,C-06,2025-07-01,2025-08-15,32959.98,Net 45,paid
INV-2195,C-06,2025-07-27,2025-09-10,34815.39,Net 45,paid
INV-2196,C-06,2025-08-22,2025-10-06,26892.08,Net 45,paid
INV-2197,C-06,2025-08-08,2025-09-22,30182.52,Net 45,paid
INV-2198,C-06,2025-08-03,2025-09-17,30457.27,Net 45,paid
INV-2199,C-06,2025-09-13,2025-10-28,26352.93,Net 45,paid
INV-2200,C-06,2025-09-19,2025-11-03,27919.78,Net 45,paid
INV-2201,C-06,2025-09-03,2025-10-18,27375.41,Net 45,paid
INV-2202,C-06,2025-10-11,2025-11-25,27815.21,Net 45,paid
INV-2203,C-06,2025-10-17,2025-12-01,28016.93,Net 45,paid
INV-2204,C-06,2025-10-21,2025-12-05,21406.36,Net 45,paid
INV-2205,C-06,2025-11-01,2025-12-16,24618.72,Net 45,paid
INV-2206,C-06,2025-11-20,2026-01-04,29273.63,Net 45,paid
INV-2207,C-06,2025-11-09,2025-12-24,19073.61,Net 45,paid
INV-2208,C-06,2025-12-25,2026-02-08,22406.39,Net 45,paid
INV-2209,C-06,2025-12-01,2026-01-15,31252.64,Net 45,paid
INV-2210,C-06,2025-12-04,2026-01-18,37034.72,Net 45,paid
INV-2211,C-06,2026-01-27,2026-03-13,32766.56,Net 45,paid
INV-2212,C-06,2026-01-08,2026-02-22,31850.99,Net 45,paid
INV-2213,C-06,2026-01-06,2026-02-20,24709.43,Net 45,paid
INV-2214,C-06,2026-02-09,2026-03-26,20845.03,Net 45,paid
INV-2215,C-06,2026-02-20,2026-04-06,31303.89,Net 45,paid
INV-2216,C-06,2026-02-17,2026-04-03,18964.37,Net 45,paid
INV-2217,C-06,2026-03-12,2026-04-26,23312.9,Net 45,paid
INV-2218,C-06,2026-03-16,2026-04-30,29602.31,Net 45,paid
INV-2219,C-06,2026-03-01,2026-04-15,28649.63,Net 45,paid
INV-2220,C-06,2026-04-11,2026-05-26,41969.05,Net 45,paid
INV-2221,C-06,2026-04-07,2026-05-22,29484.56,Net 45,paid
INV-2222,C-06,2026-04-01,2026-05-16,34566.16,Net 45,paid
INV-2223,C-06,2026-05-11,2026-06-25,25683.85,Net 45,paid
INV-2224,C-06,2026-05-12,2026-06-26,26696.5,Net 45,paid
INV-2225,C-06,2026-05-15,2026-06-29,34886.81,Net 45,paid
INV-2226,C-06,2026-06-13,2026-07-28,24585.87,Net 45,paid
INV-2227,C-06,2026-06-07,2026-07-22,20923.92,Net 45,paid
INV-2228,C-06,2026-06-09,2026-07-24,30079.26,Net 45,paid
INV-2229,C-06,2026-07-18,2026-09-01,26801.74,Net 45,open
INV-2230,C-06,2026-07-04,2026-08-18,33635.15,Net 45,paid
INV-2231,C-06,2026-07-17,2026-08-31,34354.3,Net 45,open
INV-2232,C-06,2026-08-08,2026-09-22,21017.91,Net 45,open
INV-2233,C-06,2026-08-25,2026-10-09,25303.99,Net 45,open
INV-2234,C-06,2026-08-22,2026-10-06,27473.79,Net 45,open
INV-2235,C-07,2025-03-12,2025-04-11,4732.47,Net 30,paid
INV-2236,C-07,2025-03-01,2025-03-31,6290.89,Net 30,paid
INV-2237,C-07,2025-04-12,2025-05-12,5221.51,Net 30,paid
INV-2238,C-07,2025-04-14,2025-05-14,7055.87,Net 30,paid
INV-2239,C-07,2025-05-01,2025-05-31,6329.8,Net 30,paid
INV-2240,C-07,2025-05-25,2025-06-24,6247.28,Net 30,paid
INV-2241,C-07,2025-06-14,2025-07-14,6950.71,Net 30,paid
INV-2242,C-07,2025-06-24,2025-07-24,6389.24,Net 30,paid
INV-2243,C-07,2025-07-04,2025-08-03,7726.89,Net 30,paid
INV-2244,C-07,2025-07-01,2025-07-31,4935.17,Net 30,paid
INV-2245,C-07,2025-08-21,2025-09-20,6278.86,Net 30,paid
INV-2246,C-07,2025-08-15,2025-09-14,6593.55,Net 30,paid
INV-2247,C-07,2025-09-12,2025-10-12,4677.76,Net 30,paid
INV-2248,C-07,2025-09-06,2025-10-06,5298.5,Net 30,paid
INV-2249,C-07,2025-10-25,2025-11-24,3846.36,Net 30,paid
INV-2250,C-07,2025-10-14,2025-11-13,7687.95,Net 30,paid
INV-2251,C-07,2025-11-21,2025-12-21,5654.1,Net 30,paid
INV-2252,C-07,2025-11-27,2025-12-27,5332.79,Net 30,paid
INV-2253,C-07,2025-12-11,2026-01-10,5967.72,Net 30,paid
INV-2254,C-07,2025-12-16,2026-01-15,6050.67,Net 30,paid
INV-2255,C-07,2026-01-10,2026-02-09,6031.43,Net 30,paid
INV-2256,C-07,2026-01-24,2026-02-23,9655.67,Net 30,paid
INV-2257,C-07,2026-02-01,2026-03-03,6652.33,Net 30,paid
INV-2258,C-07,2026-02-16,2026-03-18,7028.79,Net 30,paid
INV-2259,C-07,2026-03-03,2026-04-02,5761.64,Net 30,paid
INV-2260,C-07,2026-03-25,2026-04-24,3091.23,Net 30,paid
INV-2261,C-07,2026-04-03,2026-05-03,7267.07,Net 30,paid
INV-2262,C-07,2026-04-07,2026-05-07,8383.23,Net 30,paid
INV-2263,C-07,2026-05-24,2026-06-23,4539.1,Net 30,paid
INV-2264,C-07,2026-05-03,2026-06-02,6391.06,Net 30,paid
INV-2265,C-07,2026-06-08,2026-07-08,8015.73,Net 30,paid
INV-2266,C-07,2026-06-14,2026-07-14,7733.98,Net 30,paid
INV-2267,C-07,2026-07-07,2026-08-06,7101.18,Net 30,open
INV-2268,C-07,2026-07-21,2026-08-20,6768.87,Net 30,open
INV-2269,C-07,2026-08-06,2026-09-05,6440.05,Net 30,open
INV-2270,C-07,2026-08-16,2026-09-15,7288.97,Net 30,open
INV-2271,C-08,2025-03-26,2025-05-10,91439.29,Net 45,paid
INV-2272,C-08,2025-04-15,2025-05-30,101986.25,Net 45,paid
INV-2273,C-08,2025-05-09,2025-06-23,68403.65,Net 45,paid
INV-2274,C-08,2025-06-25,2025-08-09,97507.47,Net 45,paid
INV-2275,C-08,2025-07-18,2025-09-01,89095.43,Net 45,paid
INV-2276,C-08,2025-08-17,2025-10-01,107908.2,Net 45,paid
INV-2277,C-08,2025-09-24,2025-11-08,94992.97,Net 45,paid
INV-2278,C-08,2025-10-21,2025-12-05,83654.21,Net 45,paid
INV-2279,C-08,2025-11-02,2025-12-17,77053.88,Net 45,paid
INV-2280,C-08,2025-12-09,2026-01-23,75332.71,Net 45,paid
INV-2281,C-08,2026-01-08,2026-02-22,114256.24,Net 45,paid
INV-2282,C-08,2026-02-09,2026-03-26,80065.78,Net 45,paid
INV-2283,C-08,2026-03-08,2026-04-22,62703.0,Net 45,paid
INV-2284,C-08,2026-04-02,2026-05-17,109411.78,Net 45,paid
INV-2285,C-08,2026-05-26,2026-07-10,74675.47,Net 45,paid
INV-2286,C-08,2026-06-15,2026-07-30,116220.2,Net 45,paid
INV-2287,C-08,2026-07-13,2026-08-27,72054.53,Net 45,open
INV-2288,C-08,2026-08-04,2026-09-18,78678.57,Net 45,open
INV-2289,C-09,2025-03-20,2025-04-19,8395.23,Net 30,paid
INV-2290,C-09,2025-03-23,2025-04-22,7185.05,Net 30,paid
INV-2291,C-09,2025-04-15,2025-05-15,6302.86,Net 30,paid
INV-2292,C-09,2025-04-20,2025-05-20,4410.78,Net 30,paid
INV-2293,C-09,2025-05-16,2025-06-15,5726.81,Net 30,paid
INV-2294,C-09,2025-05-11,2025-06-10,9222.1,Net 30,paid
INV-2295,C-09,2025-06-21,2025-07-21,6198.12,Net 30,paid
INV-2296,C-09,2025-06-16,2025-07-16,7611.71,Net 30,paid
INV-2297,C-09,2025-07-16,2025-08-15,8531.69,Net 30,paid
INV-2298,C-09,2025-07-09,2025-08-08,8096.17,Net 30,paid
INV-2299,C-09,2025-08-11,2025-09-10,6468.88,Net 30,paid
INV-2300,C-09,2025-08-07,2025-09-06,8109.64,Net 30,paid
INV-2301,C-09,2025-09-06,2025-10-06,7030.03,Net 30,paid
INV-2302,C-09,2025-09-20,2025-10-20,9220.98,Net 30,paid
INV-2303,C-09,2025-10-25,2025-11-24,10090.8,Net 30,paid
INV-2304,C-09,2025-10-10,2025-11-09,7893.58,Net 30,paid
INV-2305,C-09,2025-11-18,2025-12-18,7636.27,Net 30,paid
INV-2306,C-09,2025-11-01,2025-12-01,5633.82,Net 30,paid
INV-2307,C-09,2025-12-27,2026-01-26,8665.93,Net 30,paid
INV-2308,C-09,2025-12-21,2026-01-20,7519.37,Net 30,paid
INV-2309,C-09,2026-01-26,2026-02-25,5997.9,Net 30,paid
INV-2310,C-09,2026-01-07,2026-02-06,8290.17,Net 30,paid
INV-2311,C-09,2026-02-01,2026-03-03,9235.08,Net 30,paid
INV-2312,C-09,2026-02-08,2026-03-10,8175.45,Net 30,paid
INV-2313,C-09,2026-03-21,2026-04-20,7714.16,Net 30,paid
INV-2314,C-09,2026-03-04,2026-04-03,6831.44,Net 30,paid
INV-2315,C-09,2026-04-17,2026-05-17,4317.01,Net 30,paid
INV-2316,C-09,2026-04-21,2026-05-21,8129.55,Net 30,paid
INV-2317,C-09,2026-05-13,2026-06-12,6376.34,Net 30,paid
INV-2318,C-09,2026-05-25,2026-06-24,5645.89,Net 30,paid
INV-2319,C-09,2026-06-06,2026-07-06,10772.02,Net 30,paid
INV-2320,C-09,2026-06-14,2026-07-14,5400.8,Net 30,paid
INV-2321,C-09,2026-07-24,2026-08-23,5716.21,Net 30,paid
INV-2322,C-09,2026-07-09,2026-08-08,6955.27,Net 30,paid
INV-2323,C-09,2026-08-17,2026-09-16,9765.8,Net 30,open
INV-2324,C-09,2026-08-08,2026-09-07,6758.56,Net 30,open
INV-2325,C-10,2025-03-09,2025-04-23,18601.48,Net 45,paid
INV-2326,C-10,2025-03-03,2025-04-17,13870.45,Net 45,paid
INV-2327,C-10,2025-04-14,2025-05-29,18050.37,Net 45,paid
INV-2328,C-10,2025-04-08,2025-05-23,16618.21,Net 45,paid
INV-2329,C-10,2025-05-27,2025-07-11,11203.95,Net 45,paid
INV-2330,C-10,2025-05-09,2025-06-23,15184.14,Net 45,paid
INV-2331,C-10,2025-06-18,2025-08-02,19087.28,Net 45,paid
INV-2332,C-10,2025-06-25,2025-08-09,9747.84,Net 45,paid
INV-2333,C-10,2025-07-03,2025-08-17,14376.46,Net 45,paid
INV-2334,C-10,2025-07-19,2025-09-02,18579.77,Net 45,paid
INV-2335,C-10,2025-08-14,2025-09-28,9656.12,Net 45,paid
INV-2336,C-10,2025-08-05,2025-09-19,9914.37,Net 45,paid
INV-2337,C-10,2025-09-15,2025-10-30,17167.66,Net 45,paid
INV-2338,C-10,2025-09-06,2025-10-21,12727.84,Net 45,paid
INV-2339,C-10,2025-10-15,2025-11-29,13659.64,Net 45,paid
INV-2340,C-10,2025-10-18,2025-12-02,15680.07,Net 45,paid
INV-2341,C-10,2025-11-21,2026-01-05,16994.17,Net 45,paid
INV-2342,C-10,2025-11-26,2026-01-10,19249.14,Net 45,paid
INV-2343,C-10,2025-12-12,2026-01-26,9789.82,Net 45,paid
INV-2344,C-10,2025-12-11,2026-01-25,24578.3,Net 45,paid
INV-2345,C-10,2026-01-18,2026-03-04,15529.14,Net 45,paid
INV-2346,C-10,2026-01-16,2026-03-02,17726.28,Net 45,paid
INV-2347,C-10,2026-02-13,2026-03-30,21201.82,Net 45,paid
INV-2348,C-10,2026-02-08,2026-03-25,15377.51,Net 45,paid
INV-2349,C-10,2026-03-09,2026-04-23,21334.29,Net 45,paid
INV-2350,C-10,2026-03-18,2026-05-02,14087.92,Net 45,paid
INV-2351,C-10,2026-04-23,2026-06-07,11976.02,Net 45,paid
INV-2352,C-10,2026-04-10,2026-05-25,19961.63,Net 45,paid
INV-2353,C-10,2026-05-14,2026-06-28,15128.58,Net 45,paid
INV-2354,C-10,2026-05-23,2026-07-07,6291.33,Net 45,paid
INV-2355,C-10,2026-06-08,2026-07-23,18720.96,Net 45,paid
INV-2356,C-10,2026-06-06,2026-07-21,18989.52,Net 45,open
INV-2357,C-10,2026-07-18,2026-09-01,13915.41,Net 45,open
INV-2358,C-10,2026-07-25,2026-09-08,15098.72,Net 45,open
INV-2359,C-10,2026-08-21,2026-10-05,10049.4,Net 45,open
INV-2360,C-10,2026-08-11,2026-09-25,13046.71,Net 45,open
INV-2361,C-11,2025-03-16,2025-05-15,18896.89,Net 60,paid
INV-2362,C-11,2025-04-08,2025-06-07,32988.84,Net 60,paid
INV-2363,C-11,2025-05-21,2025-07-20,13768.09,Net 60,paid
INV-2364,C-11,2025-06-20,2025-08-19,8313.03,Net 60,paid
INV-2365,C-11,2025-07-24,2025-09-22,27070.9,Net 60,paid
INV-2366,C-11,2025-08-23,2025-10-22,18678.8,Net 60,paid
INV-2367,C-11,2025-09-18,2025-11-17,26100.59,Net 60,paid
INV-2368,C-11,2025-10-12,2025-12-11,28819.04,Net 60,paid
INV-2369,C-11,2025-11-11,2026-01-10,19180.39,Net 60,paid
INV-2370,C-11,2025-12-16,2026-02-14,24915.24,Net 60,paid
INV-2371,C-11,2026-01-27,2026-03-28,23717.43,Net 60,paid
INV-2372,C-11,2026-02-01,2026-04-02,24151.05,Net 60,paid
INV-2373,C-11,2026-03-19,2026-05-18,22238.39,Net 60,paid
INV-2374,C-11,2026-04-08,2026-06-07,13176.79,Net 60,paid
INV-2375,C-11,2026-05-21,2026-07-20,23713.53,Net 60,paid
INV-2376,C-11,2026-06-08,2026-08-07,14302.91,Net 60,paid
INV-2377,C-11,2026-07-09,2026-09-07,24021.85,Net 60,open
INV-2378,C-11,2026-08-20,2026-10-19,17815.97,Net 60,open
